open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2026-03-02 18:00:00,69198.00000000,69268.15000000,68727.83000000,68877.67000000,1055.74310000,2026-03-02 18:59:59,72890341.39391180,295800,540.30343000,37312268.63522090,0
2026-03-02 19:00:00,68877.67000000,69049.32000000,68576.18000000,68966.53000000,886.89114000,2026-03-02 19:59:59,61051191.18872530,237949,486.40403000,33488726.65779800,0
2026-03-02 20:00:00,68966.52000000,69505.00000000,68584.90000000,69106.58000000,1028.13825000,2026-03-02 20:59:59,71043152.67859690,326162,506.70467000,35002634.03824130,0
2026-03-02 21:00:00,69106.58000000,69539.77000000,69000.71000000,69413.82000000,441.38382000,2026-03-02 21:59:59,30595523.01360720,167971,245.80531000,17035569.96637000,0
2026-03-02 22:00:00,69413.82000000,69501.62000000,69136.36000000,69440.49000000,1330.59238000,2026-03-02 22:59:59,92217914.74601720,173563,337.82947000,23422388.83387960,0
2026-03-02 23:00:00,69440.48000000,69479.58000000,68740.00000000,68830.06000000,637.72978000,2026-03-02 23:59:59,44031236.57451000,191010,216.75898000,14964180.43438040,0
2026-03-03 00:00:00,68830.06000000,69166.61000000,68644.38000000,69092.88000000,602.91075000,2026-03-03 00:59:59,41560858.77639250,189176,364.57996000,25143881.29447560,0
2026-03-03 01:00:00,69092.89000000,69258.08000000,68755.00000000,68760.01000000,452.46998000,2026-03-03 01:59:59,31208530.04191110,195061,243.44462000,16794954.31844680,0
2026-03-03 02:00:00,68760.01000000,68774.13000000,68210.71000000,68512.17000000,848.26905000,2026-03-03 02:59:59,58081343.14079230,253808,311.37653000,21324751.24339650,0
2026-03-03 03:00:00,68512.17000000,68550.00000000,68231.47000000,68377.94000000,458.44735000,2026-03-03 03:59:59,31344011.85342780,156591,178.23653000,12185247.98238790,0
2026-03-03 04:00:00,68377.94000000,68454.63000000,68050.11000000,68123.20000000,436.46143000,2026-03-03 04:59:59,29788970.85710880,154510,132.74586000,9061643.22079570,0
2026-03-03 05:00:00,68123.19000000,68617.42000000,67845.84000000,67947.75000000,913.85345000,2026-03-03 05:59:59,62339389.33431660,235064,417.44453000,28511696.35786420,0
2026-03-03 06:00:00,67947.75000000,68250.24000000,67800.00000000,68106.73000000,821.19287000,2026-03-03 06:59:59,55804431.46928660,196778,422.87924000,28741017.53778640,0
2026-03-03 07:00:00,68106.73000000,68275.20000000,67951.24000000,68172.80000000,1165.60519000,2026-03-03 07:59:59,79432831.28845510,201989,532.89706000,36315112.03717390,0
2026-03-03 08:00:00,68172.79000000,68311.83000000,66905.00000000,67003.30000000,1883.45220000,2026-03-03 08:59:59,127271273.37621920,440334,817.61370000,55221055.50511640,0
2026-03-03 09:00:00,67003.30000000,67184.71000000,66340.14000000,66647.98000000,1767.88336000,2026-03-03 09:59:59,118012670.66957170,512555,868.55802000,58008646.29190500,0
2026-03-03 10:00:00,66647.98000000,67030.75000000,66440.46000000,66860.30000000,1159.50732000,2026-03-03 10:59:59,77269960.43366750,351135,745.91752000,49722148.33737900,0
2026-03-03 11:00:00,66860.30000000,67166.50000000,66779.37000000,67026.61000000,1271.91624000,2026-03-03 11:59:59,85196648.37439400,349395,537.03866000,35969372.23242950,0
2026-03-03 12:00:00,67026.60000000,67973.20000000,67025.93000000,67399.85000000,1323.51079000,2026-03-03 12:59:59,89304575.87986810,423380,662.74841000,44710711.04432320,0
2026-03-03 13:00:00,67399.85000000,67435.00000000,66635.30000000,66931.31000000,709.75818000,2026-03-03 13:59:59,47553695.18004910,352901,286.59870000,19204020.03254980,0
